age,monthly_income,employment_type,credit_score,loan_amount,loan_purpose,existing_emis,dti,loan_tenure,bank_behavior,eligible
34,87567,Salaried,663,2132264,Home,48120,54.95,36,58.4,0
60,193646,Salaried,861,4886835,Home,38297,19.78,120,79.3,1
36,51182,Salaried,673,3069517,Business,8299,16.21,180,63.3,1
50,131136,Salaried,755,1658990,Home,41348,31.53,36,82.5,1
50,146642,Self-Employed,387,2751822,Personal,41384,28.22,36,25.6,0
32,34288,Self-Employed,319,3418513,Car,76693,100,120,3.9,0
53,93824,Self-Employed,313,2689668,Business,32687,34.84,120,17.3,0
23,175949,Salaried,432,4792601,Personal,64577,36.7,240,21.7,0
35,99425,Salaried,333,836526,Personal,60047,60.39,84,0,0
41,15917,Salaried,507,1598780,Personal,10191,64.03,120,34.1,0
43,90602,Self-Employed,498,3276364,Education,56884,62.78,12,31.4,0
32,79575,Self-Employed,891,3294181,Education,54911,69.01,120,100,1
48,87518,Salaried,882,2637033,Car,77303,88.33,24,99.2,1
24,54104,Salaried,454,2128850,Personal,43726,80.82,120,27.3,0
38,164134,Salaried,889,2407395,Education,34623,21.09,36,100,1
49,31999,Salaried,377,2482108,Education,50000,100,240,9.4,0
50,156013,Salaried,471,1426807,Education,71494,45.83,60,32.8,1
42,76169,Salaried,588,3440584,Car,63027,82.75,120,50.2,0
37,169542,Salaried,844,3245335,Car,58995,34.8,180,91.6,1
58,144744,Self-Employed,719,1501537,Personal,42876,29.62,24,69.3,1
41,125684,Salaried,306,3564536,Business,51070,40.63,12,0,0
27,74821,Salaried,459,2689770,Personal,66224,88.51,120,24.5,0
40,190507,Salaried,539,1809268,Education,25365,13.31,84,38.3,1
26,150601,Salaried,722,2644489,Education,29663,19.7,84,64.6,1
24,27192,Salaried,835,2070612,Home,65436,100,24,78.3,1
22,89102,Salaried,369,1874998,Personal,63211,70.94,36,7,0
59,129894,Salaried,515,4465741,Education,10909,8.4,48,32,1
36,101795,Salaried,403,582358,Education,60883,59.81,36,6.4,0
55,180159,Self-Employed,353,925475,Business,12713,7.06,24,0,0
56,81677,Salaried,629,351065,Home,12614,15.44,36,38.1,1
46,150699,Self-Employed,502,2153741,Personal,20734,13.76,84,36,1
45,149327,Salaried,587,2080489,Car,30709,20.56,240,55.7,1
33,151285,Salaried,344,3026579,Personal,22885,15.13,48,7.5,0
39,117412,Salaried,497,2183527,Personal,71622,61,84,29.6,0
36,34404,Salaried,515,2190237,Business,78267,100,12,24.7,0
37,131545,Self-Employed,780,4829432,Personal,13341,10.14,84,62.4,1
48,171452,Self-Employed,608,3030631,Business,39435,23,36,51.1,1
29,165245,Self-Employed,734,1944728,Business,12976,7.85,240,77.3,1
46,199099,Self-Employed,631,3081402,Education,77869,39.11,48,48.5,1
38,38989,Salaried,326,3486386,Car,5290,13.57,120,12.8,0
50,123106,Salaried,465,245961,Business,45812,37.21,48,22,0
29,39519,Salaried,617,4133028,Home,50528,100,84,61.5,0
36,37439,Self-Employed,573,3796050,Home,58570,100,120,39.3,0
48,133570,Self-Employed,682,4176030,Car,56399,42.22,24,42.4,1
28,29995,Salaried,664,3556260,Business,48437,100,84,65.7,0
24,38559,Self-Employed,402,1554777,Car,57907,100,180,9.6,0
50,104049,Salaried,802,4147824,Education,48723,46.83,84,71.3,1
45,151093,Salaried,672,2191997,Home,35655,23.6,24,65.9,1
24,113000,Salaried,544,4129162,Personal,55833,49.41,48,33.6,0
41,167191,Self-Employed,468,3449987,Home,23997,14.35,12,16.7,0
36,197611,Self-Employed,717,3479031,Business,66876,33.84,120,80,1
46,54350,Salaried,655,2635440,Car,26013,47.86,180,57.5,0
51,192295,Salaried,777,2777162,Home,32862,17.09,24,68,1
35,40517,Salaried,424,3432172,Personal,52448,100,60,17,0
28,168322,Self-Employed,836,2986036,Personal,45608,27.1,180,100,1
38,104132,Salaried,701,1864099,Car,40894,39.27,180,67.7,1
41,74546,Salaried,816,3933734,Car,50649,67.94,60,80.9,1
57,120686,Salaried,830,321984,Home,62104,51.46,180,92.3,1
30,103151,Salaried,553,4740136,Business,76459,74.12,84,38.5,0
59,18327,Salaried,420,352912,Education,39821,100,60,15.9,0
43,135318,Self-Employed,331,857359,Personal,47940,35.43,48,0,0
23,175840,Salaried,336,1983630,Car,10935,6.22,60,12.8,0
45,188860,Self-Employed,641,3211057,Education,12467,6.6,48,58.4,1
29,130945,Salaried,312,1114367,Education,11073,8.46,12,13.4,0
32,61830,Salaried,482,1489605,Education,7691,12.44,36,32.8,0
34,67446,Salaried,564,2816884,Business,46538,69,180,56.2,0
38,161232,Self-Employed,387,421698,Car,24490,15.19,120,19.7,0
29,180070,Self-Employed,761,2277588,Personal,15688,8.71,120,74.8,1
42,173302,Self-Employed,345,3445622,Car,50650,29.23,36,6.4,0
39,155148,Salaried,691,2443666,Home,13829,8.91,240,79.8,1
51,84341,Salaried,418,1149984,Personal,3086,3.66,84,30.1,0
39,46085,Self-Employed,830,1244882,Car,2590,5.62,180,100,1
52,70571,Self-Employed,746,2444712,Personal,39893,56.53,180,66.3,0
59,160787,Salaried,345,1171015,Home,73396,45.65,36,0,0
53,143308,Self-Employed,807,592530,Personal,38176,26.64,48,77.8,1
32,20750,Salaried,857,2852766,Education,67484,100,84,94.2,0
46,128931,Salaried,825,1964332,Business,26295,20.39,24,82.3,1
54,93768,Salaried,896,871681,Home,38131,40.67,120,99.6,1
59,50903,Salaried,302,1985132,Personal,44893,88.19,24,0,0
29,178165,Salaried,327,3435375,Home,11924,6.69,60,0,0
32,106036,Salaried,680,921510,Education,10851,10.23,48,66.8,1
43,102954,Salaried,456,3910872,Business,7734,7.51,240,26.2,0
45,180386,Salaried,810,4641204,Home,42681,23.66,24,95.6,1
38,194297,Salaried,632,4661315,Education,5293,2.72,120,56.6,1
33,98014,Self-Employed,413,4706707,Education,53203,54.28,120,25.1,0
53,181251,Salaried,688,4385807,Education,13820,7.62,120,58.1,1
36,132305,Salaried,786,401771,Personal,67827,51.27,12,83.8,1
37,171410,Salaried,549,2237533,Car,47163,27.51,180,48,1
43,47101,Self-Employed,870,4596475,Home,12391,26.31,24,99.5,1
49,17775,Salaried,614,3448369,Car,41970,100,60,50.5,0
41,126497,Salaried,538,1809308,Education,46823,37.02,24,42.5,0
54,60619,Salaried,533,906798,Car,30796,50.8,60,43.8,0
31,191910,Self-Employed,602,144176,Education,36389,18.96,120,59.9,1
61,165611,Salaried,633,385014,Education,3352,2.02,84,51,1
53,72124,Salaried,412,4815979,Business,28172,39.06,60,9.7,0
54,80149,Salaried,661,3904015,Business,10937,13.65,48,53.5,1
23,41616,Salaried,396,845736,Car,66481,100,180,17.2,0
54,183171,Self-Employed,315,1902040,Home,73509,40.13,180,2.5,0
54,76799,Self-Employed,855,141291,Car,23552,30.67,12,97.5,1
34,105221,Salaried,675,949321,Home,14118,13.42,24,69.1,1
51,129879,Self-Employed,689,3785568,Car,11290,8.69,36,49.8,1
54,40479,Salaried,516,2570022,Personal,25123,62.06,12,32.2,0
34,192244,Salaried,698,3234972,Personal,59551,30.98,36,68,1
47,114165,Self-Employed,559,3594886,Home,52136,45.67,180,52.1,0
43,70863,Salaried,619,2197849,Business,63886,90.15,48,52.7,0
60,188115,Self-Employed,495,3984853,Home,75902,40.35,120,43.4,0
23,97569,Salaried,777,762111,Car,67333,69.01,120,83.9,1
59,161480,Salaried,717,2791186,Education,44016,27.26,60,72.5,1
60,31351,Salaried,774,557099,Personal,21427,68.35,12,78.1,1
47,150203,Salaried,867,2254924,Education,2257,1.5,48,94.3,1
36,59825,Self-Employed,843,2265080,Personal,67733,100,120,93.1,0
55,26349,Salaried,530,1416825,Car,8222,31.2,60,36.8,0
61,59254,Self-Employed,820,4441283,Personal,25187,42.51,24,95.6,1
32,53225,Salaried,499,3878471,Home,79688,100,180,40.2,0
24,27453,Salaried,898,2170556,Education,20781,75.7,24,100,1
27,164886,Self-Employed,320,1565675,Education,11004,6.67,180,0,0
30,164335,Self-Employed,610,150965,Car,57600,35.05,24,43.1,1
27,92694,Salaried,887,3776348,Education,25515,27.53,60,100,1
30,30735,Self-Employed,895,3366219,Car,71688,100,48,98.5,0
60,161902,Salaried,733,1987627,Business,72708,44.91,12,74.2,1
52,62893,Salaried,670,4352573,Home,3185,5.06,180,52.7,1
53,190745,Salaried,859,3007428,Personal,54476,28.56,36,81.5,1
33,142006,Self-Employed,377,2579610,Personal,31212,21.98,48,14.7,0
29,60066,Salaried,841,2256851,Personal,74697,100,48,84.1,0
29,149445,Self-Employed,584,1719090,Business,48533,32.48,60,53,1
49,156407,Salaried,439,2249433,Home,37630,24.06,36,18.2,1
41,169813,Self-Employed,852,550508,Education,68606,40.4,240,84.9,1
28,25692,Salaried,581,1161545,Education,74099,100,48,28.7,0
32,193367,Self-Employed,861,3756676,Home,16585,8.58,48,100,1
41,60541,Salaried,557,139244,Home,49240,81.33,84,48.4,0
37,180129,Self-Employed,659,3089382,Personal,14772,8.2,180,47.9,1
25,81983,Self-Employed,739,244068,Education,79991,97.57,120,57.2,0
27,165655,Self-Employed,569,4786137,Home,71835,43.36,48,40.1,0
43,168837,Salaried,433,707739,Education,75724,44.85,48,29.7,0
47,169978,Self-Employed,403,1325421,Home,17938,10.55,60,12.9,0
24,135747,Salaried,394,2651852,Car,21983,16.19,60,14,0
35,100103,Self-Employed,872,746480,Personal,12874,12.86,12,100,1
32,192597,Self-Employed,779,1378529,Home,60896,31.62,180,71.9,1
39,184302,Salaried,540,1993419,Business,46209,25.07,60,34.5,1
33,165592,Salaried,312,1832414,Home,32822,19.82,36,3.8,1
44,198006,Salaried,446,4657011,Car,20750,10.48,36,22.1,1
33,40566,Salaried,394,3376254,Business,42083,100,48,8.6,0
34,88193,Salaried,592,2479365,Business,27946,31.69,120,54.3,1
46,176206,Salaried,324,3022703,Home,1552,0.88,60,8.1,1
40,156417,Salaried,571,2437117,Car,73331,46.88,12,51.8,1
57,136015,Salaried,804,1070576,Business,5271,3.88,60,82.8,1
29,187257,Salaried,465,735305,Personal,65651,35.06,60,13.4,1
50,145956,Salaried,386,3617354,Personal,28994,19.86,84,14.4,0
53,85744,Self-Employed,790,506982,Education,27186,31.71,120,72.3,1
39,48455,Salaried,440,4470266,Education,30267,62.46,60,7.1,0
27,174090,Self-Employed,402,2547537,Car,39140,22.48,24,14.8,0
39,69219,Salaried,525,578118,Business,24935,36.02,24,38.3,0
40,60991,Salaried,874,3120962,Personal,31748,52.05,48,100,1
43,88616,Self-Employed,593,1971948,Personal,3837,4.33,12,39.2,1
58,102438,Salaried,605,1257405,Car,64875,63.33,120,56.2,1
53,131841,Salaried,553,3259595,Business,62694,47.55,12,29.4,0
24,155558,Salaried,479,2836278,Car,9610,6.18,36,40,1
49,184934,Salaried,339,1917427,Home,28615,15.47,120,0.9,1
31,73870,Salaried,819,1508038,Personal,76644,100,84,83.8,1
56,101694,Salaried,845,1123572,Car,22347,21.97,120,88.3,1
50,58856,Salaried,535,4557760,Car,34062,57.87,60,45.2,0
36,116407,Salaried,762,3854153,Home,55122,47.35,180,65.4,1
54,46379,Salaried,527,1371187,Education,48431,100,84,36.4,0
28,79729,Salaried,782,1340028,Personal,73086,91.67,48,75.2,1
33,174450,Salaried,729,4862961,Car,28205,16.17,12,89.1,1
51,69353,Salaried,321,366096,Personal,18459,26.62,24,0,0
42,196068,Self-Employed,642,3122721,Education,23750,12.11,84,36.3,1
52,29031,Salaried,339,2705609,Car,27729,95.52,48,20.1,0
45,80982,Salaried,472,3212557,Home,38585,47.65,36,32.6,0
41,51683,Salaried,738,2151674,Personal,45635,88.3,120,66.7,0
58,129091,Self-Employed,478,1970695,Home,44854,34.75,120,29.4,0
25,132797,Salaried,897,1527111,Education,76226,57.4,24,93.1,1
49,163690,Self-Employed,432,3578206,Education,29104,17.78,180,6.3,0
41,21587,Salaried,650,4139775,Personal,14770,68.42,12,57,0
45,77790,Salaried,824,2265728,Education,75993,97.69,120,86,1
53,46480,Self-Employed,839,3692064,Business,17957,38.63,12,92.5,1
57,166599,Salaried,805,3051003,Personal,55178,33.12,36,76.4,1
55,38569,Salaried,383,1166741,Business,20828,54,36,7.6,0
57,26151,Self-Employed,763,3629399,Education,17171,65.66,24,74.2,0
23,59739,Self-Employed,642,4786033,Personal,61465,100,60,49.2,0
36,47954,Salaried,579,2177868,Business,13146,27.41,48,55.6,0
55,124373,Salaried,562,1685039,Education,46266,37.2,84,50.5,1
57,181375,Self-Employed,465,68179,Car,45939,25.33,24,23.4,0
27,49700,Self-Employed,592,3484091,Car,14202,28.58,48,52.9,0
60,138728,Self-Employed,808,2250305,Home,37142,26.77,120,74.8,1
33,81788,Self-Employed,879,1573155,Car,63828,78.04,12,92.8,0
24,86045,Salaried,525,4843559,Business,59046,68.62,36,49.2,0
39,183914,Self-Employed,469,3174249,Car,9849,5.36,12,33.3,1
61,159972,Salaried,897,3729512,Personal,59272,37.05,24,100,1
42,142992,Salaried,747,1842803,Personal,20439,14.29,240,71.6,1
36,95059,Salaried,801,1793174,Personal,78872,82.97,60,83.2,1
54,16881,Salaried,826,3456009,Car,35344,100,48,75.9,0
56,179109,Salaried,678,3517758,Car,53276,29.75,48,60.4,1
47,147702,Self-Employed,500,3551939,Home,5051,3.42,180,36.3,1
29,35789,Salaried,549,357633,Education,49474,100,36,41.3,0
57,141083,Salaried,708,193492,Home,75604,53.59,48,67.8,1
51,103059,Self-Employed,424,2938899,Business,16967,16.46,24,15.4,0
44,61151,Salaried,412,275648,Personal,21773,35.61,84,11.4,0
35,194992,Salaried,436,2638279,Car,74383,38.15,240,14.7,0
35,124388,Salaried,795,4847622,Education,70417,56.61,48,80.5,1
23,18262,Self-Employed,449,802648,Education,41182,100,84,30.7,0
58,81981,Salaried,642,4103235,Car,63589,77.57,48,50.1,0
26,135951,Salaried,879,4980952,Home,73235,53.87,24,96.8,1
59,138099,Salaried,620,1594718,Education,24180,17.51,84,53.5,1
35,96972,Salaried,831,447348,Home,64372,66.38,120,95.9,1
60,90485,Salaried,588,548515,Car,51372,56.77,48,48.1,0
46,69722,Salaried,788,2108591,Home,69086,99.09,120,69.4,1
41,104499,Salaried,791,4050366,Personal,22163,21.21,180,98.8,1
23,196890,Self-Employed,551,76296,Car,63089,32.04,36,49.6,1
60,176004,Salaried,376,2747017,Car,32934,18.71,24,16.5,0
27,21901,Salaried,691,2877102,Education,55595,100,60,60.6,0
38,132473,Salaried,711,1700037,Education,26592,20.07,24,65.9,1
46,23597,Salaried,472,149074,Education,23039,97.64,60,17.3,0
49,144631,Self-Employed,500,573136,Personal,64099,44.32,84,30.7,0
23,78909,Salaried,516,2828550,Personal,34018,43.11,180,37.4,0
56,87391,Salaried,675,2708062,Business,53158,60.83,84,62.3,0
58,154335,Self-Employed,885,2067364,Car,4558,2.95,48,100,1
26,78293,Salaried,310,2989961,Education,32174,41.09,36,7,0
22,171877,Salaried,311,4327214,Car,42631,24.8,24,9.6,0
61,26874,Salaried,889,1279510,Home,67687,100,12,100,1
33,101402,Salaried,734,4757575,Personal,15552,15.34,24,73.6,1
57,29079,Salaried,672,4749346,Business,35065,100,24,65.6,0
44,195922,Salaried,572,1081810,Home,2614,1.33,60,29.5,1
52,87779,Salaried,875,204525,Car,34647,39.47,240,93.8,1
32,110408,Self-Employed,808,3659337,Personal,57940,52.48,12,73.5,0
31,155090,Salaried,431,2949896,Education,620,0.4,48,12.4,1
24,135606,Salaried,618,2935020,Home,23082,17.02,120,62.5,1
35,195572,Salaried,467,691075,Personal,21891,11.19,36,19.2,1
37,135062,Salaried,696,3810501,Car,62395,46.2,180,55.4,1
31,27100,Salaried,479,2089309,Car,50955,100,36,32.9,0
50,72021,Self-Employed,357,3193197,Home,32314,44.87,180,9,0
31,165872,Self-Employed,779,82646,Home,23500,14.17,24,83.4,1
33,143126,Self-Employed,890,1174702,Home,53685,37.51,60,100,1
51,107446,Self-Employed,759,3837938,Business,64783,60.29,48,81.1,1
22,44437,Salaried,360,1353793,Education,50189,100,240,0,0
26,192747,Salaried,668,434382,Personal,19567,10.15,36,68.8,1
41,166014,Salaried,420,642947,Car,25978,15.65,60,18.2,1
29,35862,Salaried,845,4883933,Car,76089,100,240,92.2,0
33,26669,Self-Employed,881,733098,Education,9630,36.11,84,83.6,1
22,136219,Salaried,316,4254183,Home,12003,8.81,24,6.7,1
41,199844,Self-Employed,795,4380919,Home,41444,20.74,12,72.1,1
49,30916,Salaried,796,686572,Car,31607,100,12,86.9,1
58,25878,Self-Employed,804,2326148,Education,24821,95.92,120,78.2,0
58,17985,Self-Employed,831,2493413,Car,14601,81.18,24,94.3,0
33,56235,Self-Employed,614,1004183,Home,45904,81.63,120,42,0
58,33931,Self-Employed,368,4454494,Personal,71657,100,12,0,0
49,107876,Salaried,460,4773391,Home,38557,35.74,48,22.3,0
36,15336,Self-Employed,444,533843,Personal,52523,100,48,26.1,0
27,57933,Self-Employed,868,799130,Business,50502,87.17,60,85.5,0
41,60536,Self-Employed,894,3058297,Education,22098,36.5,12,100,1
35,84504,Salaried,684,1028062,Business,45902,54.32,120,71,1
23,114214,Salaried,568,3489540,Home,39253,34.37,24,34.1,1
30,197220,Self-Employed,753,1233759,Education,75516,38.29,24,77.1,1
58,128936,Salaried,817,1516478,Home,44280,34.34,180,90.5,1
41,31279,Self-Employed,649,2350775,Education,8951,28.62,240,56.6,0
47,118751,Salaried,409,3212218,Education,8117,6.84,84,17.5,1
50,119433,Salaried,782,478410,Home,25979,21.75,12,69.1,1
22,86386,Salaried,706,4127729,Home,74525,86.27,12,71.2,1
56,101124,Salaried,350,824426,Education,16915,16.73,120,8.8,0
27,120750,Salaried,702,2593884,Education,59261,49.08,180,68.2,1
58,92485,Salaried,862,2788659,Home,72964,78.89,36,100,1
26,89055,Salaried,775,4812696,Home,70440,79.1,240,77.5,0
54,106911,Salaried,386,1136706,Car,35677,33.37,48,16.9,0
35,113618,Salaried,367,4707749,Car,49830,43.86,48,21.5,0
33,128892,Self-Employed,895,866386,Car,52536,40.76,36,98.8,1
41,86128,Self-Employed,341,4134884,Business,8922,10.36,180,1.1,0
45,164180,Self-Employed,356,2292402,Education,67561,41.15,240,12.5,0
55,67495,Self-Employed,495,232235,Personal,13220,19.59,12,27,0
46,97806,Self-Employed,361,3079407,Business,45958,46.99,24,19.8,0
50,108185,Salaried,562,4179193,Education,53380,49.34,12,47.8,0
60,198581,Self-Employed,411,637453,Personal,2766,1.39,48,11.6,1
52,185591,Self-Employed,477,4649000,Car,33159,17.87,120,19.5,1
44,64649,Salaried,325,3916527,Personal,10935,16.91,120,5.4,0
59,180596,Salaried,709,2907045,Home,3784,2.1,84,70.2,1
41,179957,Self-Employed,830,2738215,Home,20221,11.24,60,78.4,1
44,190441,Salaried,616,4644086,Education,29179,15.32,48,59,1
37,110402,Salaried,831,4591759,Business,18069,16.37,180,93.8,1
29,45676,Salaried,405,1594309,Car,35682,78.12,120,20.2,0
42,79093,Salaried,763,1676013,Education,56268,71.14,12,83.2,0
22,193836,Salaried,545,1511215,Car,77818,40.15,84,32.9,1
29,196871,Salaried,380,4218094,Home,20110,10.21,24,5.9,1
50,94414,Salaried,695,1713574,Business,31232,33.08,48,63.8,1
53,108095,Salaried,821,4336503,Business,44273,40.96,60,81.8,1
59,87307,Self-Employed,563,3360752,Home,70487,80.73,180,47.9,0
26,110432,Self-Employed,573,2698766,Personal,55210,49.99,84,51.9,0
43,46923,Salaried,471,3226867,Business,73191,100,24,22.9,0
55,132449,Self-Employed,564,767463,Personal,29461,22.24,60,37.1,0
22,62574,Salaried,325,4750254,Car,4610,7.37,60,11,0
47,189463,Salaried,768,1290505,Business,56973,30.07,84,70.1,1
31,136757,Salaried,775,1434358,Home,7583,5.54,12,76.9,1
51,68664,Salaried,655,3176829,Personal,25583,37.26,180,51.1,0
39,82384,Salaried,325,4579100,Car,17701,21.49,36,0,0
38,46027,Salaried,333,3453734,Car,6880,14.95,60,0,0
47,181536,Self-Employed,563,4753907,Business,51845,28.56,120,54.1,1
29,49485,Self-Employed,437,3527915,Business,72417,100,36,30.9,0
61,165528,Salaried,865,1768671,Education,3722,2.25,84,87.7,1
33,50554,Salaried,761,1442775,Education,20077,39.71,60,80.5,1
48,61922,Salaried,467,2607929,Business,13229,21.36,120,16.3,0
29,28409,Salaried,380,3626566,Education,73338,100,36,18.3,0
46,51639,Self-Employed,706,2447431,Home,61679,100,24,60.6,0
25,34692,Salaried,873,4379149,Home,11439,32.97,48,100,1
54,104037,Self-Employed,345,1123532,Education,35902,34.51,36,11.6,0
22,33074,Self-Employed,898,4234572,Business,2598,7.86,48,96.7,1
40,161621,Salaried,352,1900827,Home,4052,2.51,120,5.4,1
52,44963,Self-Employed,775,4507976,Car,12741,28.34,60,80.3,1
37,67265,Salaried,891,2537077,Business,69360,100,48,91.1,1
35,31061,Salaried,315,2233643,Personal,36288,100,84,11.5,0
26,174882,Salaried,659,251657,Personal,1249,0.71,120,62.3,1
47,128502,Salaried,786,1197728,Business,22970,17.88,60,88.7,1
49,37800,Salaried,801,846551,Education,15565,41.18,120,63.9,1
23,131192,Salaried,440,3533765,Home,56995,43.44,36,23.5,0
27,122228,Self-Employed,746,3211895,Home,51656,42.26,120,76.3,1
30,43054,Self-Employed,589,3306510,Business,62134,100,36,48.1,0
54,191469,Self-Employed,508,3185210,Car,45765,23.9,84,34.8,1
46,28233,Salaried,774,180775,Education,2014,7.13,180,76.4,1
34,171140,Self-Employed,712,3230617,Car,70480,41.18,84,86.7,1
30,80727,Salaried,726,2454974,Business,14012,17.36,36,72.9,1
34,105610,Self-Employed,670,276406,Business,57498,54.44,60,62.6,0
52,85453,Self-Employed,589,3780278,Car,68776,80.48,240,55.7,0
32,119135,Self-Employed,731,4380057,Personal,61711,51.8,180,67.4,1
25,171904,Salaried,567,2751731,Business,42530,24.74,84,34.2,1
55,123464,Self-Employed,450,2737448,Education,79267,64.2,240,32.3,0
59,28682,Salaried,554,3967563,Car,18018,62.82,24,39.7,0
25,169455,Self-Employed,652,4473793,Personal,17916,10.57,240,69.6,1
59,73160,Salaried,676,1505482,Car,40376,55.19,84,73.1,0
40,38666,Salaried,657,862344,Personal,65046,100,240,40.9,0
27,73817,Salaried,669,1795234,Personal,58742,79.58,48,62.1,0
55,106198,Self-Employed,526,1510461,Education,77125,72.62,60,46.3,0
39,180714,Salaried,602,4081660,Business,12437,6.88,24,36.3,1
34,56830,Salaried,688,1723820,Personal,62146,100,36,67.6,0
44,25234,Self-Employed,676,4438803,Business,27618,100,12,67.9,0
40,72616,Self-Employed,417,4625454,Education,50767,69.91,48,19.1,0
32,24221,Salaried,304,2420128,Business,9705,40.07,24,0.3,0
22,157482,Salaried,743,3070041,Home,57146,36.29,24,83.4,1
45,16051,Self-Employed,651,3684842,Personal,51750,100,12,46.5,0
28,125529,Self-Employed,832,3341508,Education,44379,35.35,24,95.3,1
46,91918,Salaried,423,4062267,Car,52682,57.31,48,24.2,0
42,93116,Salaried,576,2474724,Education,64713,69.5,84,56.4,0
36,137226,Salaried,693,3206730,Personal,56919,41.48,120,57.9,1
22,59757,Self-Employed,659,989944,Education,60384,100,120,71.6,0
33,136008,Salaried,768,4049661,Car,51128,37.59,120,66.9,1
28,197329,Salaried,356,2179708,Home,1835,0.93,48,6.7,1
36,146379,Salaried,550,2739403,Personal,21283,14.54,60,32.4,1
42,71889,Self-Employed,449,3155381,Personal,49506,68.86,36,30.6,0
40,50944,Salaried,751,271746,Education,53625,100,12,69.1,1
50,114555,Salaried,461,2153715,Business,35963,31.39,180,35.9,1
46,53134,Salaried,419,4455299,Business,9179,17.28,120,6.3,0
54,173395,Self-Employed,881,2686594,Car,11955,6.89,240,93.3,1
53,40954,Salaried,650,3744210,Home,7198,17.58,48,72.6,1
56,104959,Self-Employed,398,4946525,Home,67156,63.98,60,10.2,0
59,19992,Salaried,466,3349248,Education,44588,100,60,36.1,0
47,16961,Self-Employed,813,472618,Education,11766,69.37,120,91.1,0
32,27497,Salaried,700,2413648,Business,53570,100,240,56.2,0
56,178623,Salaried,664,312328,Home,69874,39.12,180,62.4,1
29,28255,Salaried,876,1375039,Home,48679,100,120,100,1
35,150639,Self-Employed,625,201521,Home,5301,3.52,12,50.9,1
31,63847,Salaried,880,4562781,Car,15144,23.72,84,91.1,1
23,194075,Self-Employed,546,1926213,Car,13784,7.1,240,43.6,1
30,35389,Self-Employed,733,4240198,Education,67959,100,120,70.4,0
24,190595,Salaried,392,2681866,Business,8272,4.34,12,3.4,1
42,138802,Self-Employed,567,2596946,Personal,1573,1.13,240,42.7,1
47,76576,Salaried,620,3909297,Business,24419,31.89,36,49.5,0
29,58919,Self-Employed,361,4361079,Car,48555,82.41,240,9.1,0
23,18358,Salaried,599,1073612,Car,5176,28.19,48,30.6,0
27,103535,Salaried,702,816913,Education,36161,34.93,240,69.9,1
49,120982,Self-Employed,866,1202417,Personal,63440,52.44,180,81.3,1
50,20698,Salaried,602,2068265,Home,58862,100,120,56.3,0
47,81809,Salaried,552,4735150,Personal,15164,18.54,48,50.6,1
46,108079,Salaried,777,2526040,Personal,77758,71.95,240,63.6,1
33,70805,Salaried,668,2358445,Personal,25379,35.84,48,71.7,0
26,177421,Self-Employed,459,4253028,Education,18368,10.35,12,25.6,0
55,196320,Salaried,465,1496876,Car,32771,16.69,84,36.1,1
58,90033,Self-Employed,504,1788746,Home,64950,72.14,48,41.4,0
36,113239,Salaried,566,4235880,Personal,40245,35.54,36,32.8,0
57,145407,Salaried,437,918729,Home,72792,50.06,60,16,0
36,59041,Self-Employed,667,961531,Personal,43327,73.38,36,74.1,0
44,46954,Salaried,742,3274600,Car,46454,98.94,240,63.7,0
27,23002,Self-Employed,866,2036952,Home,46741,100,84,97.2,0
42,84783,Self-Employed,316,3143606,Business,31977,37.72,36,0,0
44,122524,Salaried,367,4968507,Car,6714,5.48,60,3.9,0
37,139857,Salaried,432,1327752,Home,77237,55.23,180,21.9,0
36,34738,Salaried,729,1902175,Personal,14891,42.87,180,89,1
46,25703,Salaried,607,2234996,Personal,52299,100,84,57.3,0
57,128776,Self-Employed,473,2919579,Car,65167,50.6,60,20.4,0
32,195494,Salaried,711,1228393,Car,65124,33.31,60,70.1,1
36,158464,Salaried,396,1569123,Personal,58639,37,12,1.1,0
25,59724,Salaried,453,108326,Home,40912,68.5,24,7.5,0
42,47299,Salaried,541,3797686,Business,75452,100,48,41.5,0
34,30641,Salaried,603,573292,Education,68446,100,84,56.2,0
43,94534,Self-Employed,584,1271650,Car,61516,65.07,120,59.8,0
40,21305,Self-Employed,326,74022,Personal,44250,100,12,7.3,0
55,33782,Self-Employed,701,4328762,Home,36116,100,180,66.9,0
35,93257,Self-Employed,659,198317,Car,22151,23.75,12,57.1,1
25,92963,Salaried,359,3803812,Home,71366,76.77,240,14.1,0
48,136987,Self-Employed,501,4647547,Car,44297,32.34,48,23.8,0
50,166638,Salaried,880,446742,Personal,40888,24.54,120,91.2,1
49,139591,Salaried,669,4991461,Home,56195,40.26,84,52,1
56,82766,Salaried,832,1405081,Personal,71016,85.8,240,84.5,1
29,21511,Salaried,451,4180390,Home,74979,100,24,19.4,0
37,129816,Self-Employed,401,3225261,Car,54334,41.85,120,10.5,0
57,172249,Salaried,745,1238347,Education,68345,39.68,60,69,1
51,19765,Self-Employed,528,2882003,Education,39761,100,120,39.7,0
39,166426,Salaried,424,2798881,Business,26930,16.18,12,30.8,0
23,38929,Salaried,535,1085670,Business,59117,100,240,41.5,0
34,174892,Self-Employed,461,150960,Personal,23095,13.21,12,22.2,1
25,126576,Salaried,853,3481267,Home,77482,61.21,60,95.7,1
47,175595,Salaried,652,1202738,Business,3991,2.27,180,59.5,1
46,86088,Salaried,367,1229280,Car,23519,27.32,12,12.5,0
